"Profession","Dept.group","Organisation","Dept.IfG","Whitehall","Managed","Year","value","Category","Note_profgroup"
"Operational Delivery","Scottish Government","Accountant in Bankruptcy","Scot Gov","Non-Whitehall","No",2013,0,"Operational delivery",""
"Operational Delivery","Scottish Government","Registers of Scotland","Scot Gov","Non-Whitehall","No",2013,790,"Operational delivery",""
"Operational Delivery","Scottish Government","Scottish Court Service","Scot Gov","Non-Whitehall","No",2013,1250,"Operational delivery",""
"Operational Delivery","Scottish Government","Scottish Fisheries Protection Agency","Scot Gov","Non-Whitehall","No",2013,NA,"Operational delivery",""
"Operational Delivery","Scottish Government","Scottish Government (excl agencies)","Scot Gov","Non-Whitehall","No",2013,0,"Operational delivery",""
"Operational Delivery","Scottish Government","Scottish Housing Regulator","Scot Gov","Non-Whitehall","No",2013,0,"Operational delivery",""
"Operational Delivery","Scottish Government","Scottish Law Commission","Scot Gov","Non-Whitehall","No",2013,NA,"Operational delivery",""
"Operational Delivery","Scottish Government","Scottish Prison Service Headquarters","Scot Gov","Non-Whitehall","No",2013,3240,"Operational delivery",""
"Operational Delivery","Scottish Government","Scottish Public Pensions Agency","Scot Gov","Non-Whitehall","No",2013,0,"Operational delivery",""
"Operational Delivery","Scottish Government","Social Work Inspection Agency","Scot Gov","Non-Whitehall","No",2013,NA,"Operational delivery",""
"Operational Delivery","Scottish Government","Student Awards Agency","Scot Gov","Non-Whitehall","No",2013,0,"Operational delivery",""
"Operational Delivery","Scottish Government","Transport Scotland","Scot Gov","Non-Whitehall","No",2013,0,"Operational delivery",""
"Operational Delivery","Scottish Government","Education Scotland","Scot Gov","Non-Whitehall","No",2013,0,"Operational delivery",""
"Operational Delivery","Welsh Assembly","ESTYN","Welsh Gov","Non-Whitehall","No",2013,20,"Operational delivery",""
"Operational Delivery","Welsh Assembly","Welsh Government","Welsh Gov","Non-Whitehall","No",2013,1810,"Operational delivery",""
"Operational Delivery","ONS total","All employees","Total employment","Total Employment ONS total","Total Employment ONS total",2013,240500,"Operational delivery",""
"Operational Research","Attorney General's departments","Attorney General's Office","AGO","Whitehall","Yes",2010,0,"Specialist",""
"Operational Research","Attorney General's departments","Crown Prosecution Service","AGO","Non-Whitehall","No",2010,0,"Specialist",""
"Operational Research","Attorney General's departments","Crown Prosecution Service Inspectorate","AGO","Non-Whitehall","No",2010,0,"Specialist",""
"Operational Research","Attorney General's departments","National Fraud Authority [AGO]","AGO","Non-Whitehall","No",2010,NA,"Specialist",""
"Operational Research","Attorney General's departments","Revenue and Customs Prosecution Office","AGO","Non-Whitehall","No",2010,NA,"Specialist",""
"Operational Research","Attorney General's departments","Serious Fraud Office","AGO","Non-Whitehall","No",2010,0,"Specialist",""
"Operational Research","Attorney General's departments","Treasury Solicitor","AGO","Non-Whitehall","No",2010,0,"Specialist",""
"Operational Research","Business, Innovation and Skills","Advisory Conciliation and Arbitration Service","BIS","Non-Whitehall","No",2010,10,"Specialist",""
"Operational Research","Business, Innovation and Skills","Business, Enterprise and Regulatory Reform","BIS","Whitehall","Yes",2010,NA,"Specialist",""
"Operational Research","Business, Innovation and Skills","Business, Innovation and Skills","BIS","Whitehall","Yes",2010,0,"Specialist",""
"Operational Research","Business, Innovation and Skills","Companies House","BIS","Non-Whitehall","No",2010,0,"Specialist",""
"Operational Research","Business, Innovation and Skills","UK Space Agency","BIS","Non-Whitehall","No",2010,NA,"Specialist",""
"Operational Research","Innovation, Universities and Skills","Department for Innovation, Universities and Skills","BIS","Whitehall","Yes",2010,NA,"Specialist",""
"Operational Research","Export Credits Guarantee Department","Export Credit Guarantee Department","BIS","Non-Whitehall","No",2010,10,"Specialist",""
"Operational Research","Business, Innovation and Skills","Insolvency Service","BIS","Non-Whitehall","No",2010,0,"Specialist",""
"Operational Research","Business, Innovation and Skills","National Measurement Office","BIS","Non-Whitehall","No",2010,NA,"Specialist",""
"Operational Research","Business, Innovation and Skills","National Weights and Measures Laboratory","BIS","Non-Whitehall","No",2010,0,"Specialist",""
"Operational Research","Business, Innovation and Skills","Office of Fair Trading","BIS","Non-Whitehall","No",2010,0,"Specialist",""
"Operational Research","Business, Innovation and Skills","Office of Gas and Electricity Market","DECC","Non-Whitehall","No",2010,0,"Specialist",""
"Operational Research","Business, Innovation and Skills","Postal Services Commission","BIS","Non-Whitehall","No",2010,0,"Specialist",""
"Operational Research","Business, Innovation and Skills","Skills Funding Agency","BIS","Non-Whitehall","No",2010,NA,"Specialist",""
"Operational Research","Business, Innovation and Skills","UK Intellectual Property Office","BIS","Non-Whitehall","No",2010,0,"Specialist",""
"Operational Research","Business, Innovation and Skills","HM Land Registry","BIS","Non-Whitehall","No",2010,NA,"Specialist",""
"Operational Research","Business, Innovation and Skills","Met Office","BIS","Non-Whitehall","No",2010,0,"Specialist",""
"Operational Research","Business, Innovation and Skills","Ordnance Survey","BIS","Non-Whitehall","No",2010,20,"Specialist",""
"Operational Research","Cabinet Office ","Buying Solutions","CO","Non-Whitehall","Yes",2010,NA,"Specialist",""
"Operational Research","Cabinet Office ","Cabinet Office excl agencies","CO","Whitehall","Yes",2010,NA,"Specialist",""
"Operational Research","Cabinet Office ","Central Office of Information","CO","Non-Whitehall","Yes",2010,0,"Specialist",""
"Operational Research","Charity Commission","Charity Commission","CO","Non-Whitehall","No",2010,0,"Specialist",""
"Operational Research","Cabinet Office ","National School of Government","CO","Non-Whitehall","No",2010,0,"Specialist",""
"Operational Research","Cabinet Office ","Office of the Parliamentary Counsel","CO","Non-Whitehall","Yes",2010,0,"Specialist",""
"Operational Research","Cabinet Office ","Government Procurement Service","CO","Non-Whitehall","Yes",2010,NA,"Specialist",""
"Operational Research","Communities and Local Government","Department for Communities and Local Government","DCLG","Whitehall","Yes",2010,0,"Specialist",""
"Operational Research","Communities and Local Government","Fire Service College","DCLG","Non-Whitehall","No",2010,0,"Specialist",""
"Operational Research","Communities and Local Government","Ordnance Survey [DCLG]","DCLG","Non-Whitehall","No",2010,NA,"Specialist",""
"Operational Research","Communities and Local Government","Planning Inspectorate","DCLG","Non-Whitehall","Yes",2010,0,"Specialist",""
"Operational Research","Communities and Local Government","Queen Elizabeth II Conference Centre","DCLG","Non-Whitehall","No",2010,0,"Specialist",""
"Operational Research","Culture, Media and Sport","Department for Culture Media and Sport","DCMS","Whitehall","Yes",2010,0,"Specialist",""
"Operational Research","Culture, Media and Sport","Royal Parks","DCMS","Non-Whitehall","No",2010,0,"Specialist",""
"Operational Research","Department for Energy and Climate Change ","Department for Energy and Climate Change","DECC","Whitehall","Yes",2010,0,"Specialist",""
"Operational Research","Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Defra","Non-Whitehall","No",2010,NA,"Specialist",""
"Operational Research","Environment, Food and Rural Affairs","Central Science Laboratory","Defra","Non-Whitehall","No",2010,0,"Specialist",""
"Operational Research","Environment, Food and Rural Affairs","Animal Health","Defra","Non-Whitehall","No",2010,0,"Specialist",""
"Operational Research","Environment, Food and Rural Affairs","Centre for Environment Fisheries and Aquaculture Science","Defra","Non-Whitehall","No",2010,0,"Specialist",""
"Operational Research","Environment, Food and Rural Affairs","Department for Environment Food and Rural Affairs","Defra","Whitehall","Yes",2010,0,"Specialist",""
"Operational Research","Environment, Food and Rural Affairs","Food & Environment Research Agency","Defra","Non-Whitehall","No",2010,NA,"Specialist",""
"Operational Research","Environment, Food and Rural Affairs","Government Decontamination Services","Defra","Non-Whitehall","No",2010,NA,"Specialist",""
"Operational Research","Environment, Food and Rural Affairs","Marine Fisheries Agency","Defra","Non-Whitehall","No",2010,0,"Specialist",""
"Operational Research","Environment, Food and Rural Affairs","OFWAT","Defra","Non-Whitehall","No",2010,0,"Specialist",""
"Operational Research","Environment, Food and Rural Affairs","Rural Payments Agency","Defra","Non-Whitehall","Yes",2010,0,"Specialist",""
"Operational Research","Environment, Food and Rural Affairs","Veterinary Laboratories Agency","Defra","Non-Whitehall","No",2010,0,"Specialist",""
"Operational Research","Environment, Food and Rural Affairs","Veterinary Medicines Directorate","Defra","Non-Whitehall","No",2010,0,"Specialist",""
"Operational Research","Children, Schools and Families / Department for Education","Department for Education","DfE","Whitehall","Yes",2010,NA,"Specialist",""
"Operational Research","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","DfE","Non-Whitehall","No",2010,NA,"Specialist",""
"Operational Research","Ofsted","Ofsted","DfE","Non-Whitehall","No",2010,0,"Specialist",""
"Operational Research","Department for Education","Standards and Testing Agency","DfE","Non-Whitehall","Yes",2010,NA,"Specialist",""
"Operational Research","Department for Education","Education Funding Agency","DfE","Non-Whitehall","Yes",2010,NA,"Specialist",""
"Operational Research","Department for Education","National College","DfE","Non-Whitehall","Yes",2010,NA,"Specialist",""
"Operational Research","Department for Education","Teaching Agency","DfE","Non-Whitehall","Yes",2010,NA,"Specialist",""
"Operational Research","Department for Education","National College for Teaching and Leadership","DfE","Non-Whitehall","Yes",2010,NA,"Specialist",""
"Operational Research","International Development ","Department for International Development","DfID","Whitehall","Yes",2010,0,"Specialist",""
"Operational Research","Transport","Department for Transport","DfT","Whitehall","Yes",2010,0,"Specialist",""
"Operational Research","Transport","Driver and Vehicle Licensing Agency","DfT","Non-Whitehall","No",2010,0,"Specialist",""
"Operational Research","Transport","Driving Standards Agency","DfT","Non-Whitehall","No",2010,10,"Specialist",""
"Operational Research","Transport","Government Car and Despatch Agency","DfT","Non-Whitehall","No",2010,0,"Specialist",""
"Operational Research","Transport","Highways Agency","DfT","Non-Whitehall","No",2010,0,"Specialist",""
"Operational Research","Transport","Maritime and Coastguard Agency","DfT","Non-Whitehall","No",2010,0,"Specialist",""
"Operational Research","Transport","Office of Rail Regulation","DfT","Non-Whitehall","No",2010,0,"Specialist",""
"Operational Research","Transport","Vehicle and Operator Services Agency","DfT","Non-Whitehall","No",2010,0,"Specialist",""
"Operational Research","Transport","Vehicle Certification Agency","DfT","Non-Whitehall","No",2010,0,"Specialist",""
"Operational Research","Health","Department of Health (excl agencies)","DH","Whitehall","Yes",2010,40,"Specialist",""
"Operational Research","Health","Food Standards Agency","DH","Non-Whitehall","No",2010,0,"Specialist",""
"Operational Research","Health","Meat Hygiene Service","DH","Non-Whitehall","No",2010,0,"Specialist",""
"Operational Research","Health","Medicines and Healthcare Products Regulatory Agency","DH","Non-Whitehall","No",2010,0,"Specialist",""
"Operational Research","Health","National Healthcare Purchasing and Supplies","DH","Non-Whitehall","No",2010,0,"Specialist",""
"Operational Research","Health","NHS Business Services Authority","DH","Non-Whitehall","No",2010,0,"Specialist",""
"Operational Research","Health","Public Health England","DH","Non-Whitehall","No",2010,NA,"Specialist",""
"Operational Research","Work and Pensions","Department for Work and Pensions","DWP","Non-Whitehall","Yes",2010,NA,"Specialist",""
